	Current Fit	Reference Fit
$\chi^2$	1.16916	1.16916
$<E_{\mathrm{trn}}>$	2.276±0.054	2.276±0.054
$<E_{\mathrm{val}}>$	2.370±0.096	2.370±0.096
$<TL>$	12500±2400	12500±2400
$<\chi^2>$	1.193±0.015	1.193±0.015
$\phi$	0.1551±0.0049	0.1551±0.0049
