	Current Fit	Current Fit	Reference Fit	Reference Fit
	ndata	$\phi$	ndata	$\phi$
group				
DIS NC	2100	0.14446227669543182	2100	0.14446227669543182
DIS CC	989	0.1194212525364492	989	0.1194212525364492
DY NC	736	0.17881564827286078	736	0.17881564827286078
DY CC	157	0.32936395561167037	157	0.32936395561167037
TOP	64	0.1731715893099234	64	0.1731715893099234
JETS	356	0.1292343029040945	356	0.1292343029040945
DIJET	144	0.11284138049586283	144	0.11284138049586283
PHOTON	53	0.05677953589512926	53	0.05677953589512926
SINGLETOP	17	0.035738741517954926	17	0.035738741517954926
