	mean	std
u momentum fraction	3.3057393931E-1	1.2E-10
ubar momentum fraction	3.0663571168E-2	2.0E-11
d momentum fraction	1.59109803993E-1	2.0E-11
dbar momentum fraction	4.0696488385E-2	3.1E-11
s momentum fraction	2.9674825223E-2	1.9E-11
sbar momentum fraction	1.9101120773E-2	4.0E-11
cp momentum fraction	7.8214711478E-3	7.4E-12
cm momentum fraction	-7.533993E-8	4.4E-13
g momentum fraction	3.8235649663E-1	2.7E-10
T3	6.81015631E-1	6.1E-8
T8	4.489902128	2.9E-8
