	mean	std	min	max
momentum	0.9999980740920975	2.555891617657211e-07	0.9999976543269828	0.999998488442383
uvalence	1.9999851842695835	2.255295182136336e-06	1.9999805502208279	1.9999892951418872
dvalence	0.9999871019136151	2.977311559827359e-06	0.9999790277808029	0.9999904982280194
svalence	3.055559679573591e-06	1.6571626995635127e-06	9.230186953385761e-07	6.562824792416544e-06
cvalence	-5.3257298054229757e-08	5.2624103459765856e-08	-1.6805972678331992e-07	6.04499291044949e-08
