	NNPDF4.0-like	NNPDF4.0-like	NNPDF4.0-baseline	NNPDF4.0-baseline
	ndata	$\phi$	ndata	$\phi$
group				
DEUTERON	790	0.16571535506552973	790	0.1757380278249032
NMC	204	0.12014251339721194	204	0.12260874604456248
NUCLEAR	993	0.11378942138718194	993	0.11594398643045004
HERACOMB	1208	0.1415457794114727	1208	0.14323698404170096
DYE886	88	0.19537479774204336	89	0.23811987381099545
CDF	28	0.22468823694637213	28	0.20595278565140648
D0	37	0.3160435729079965	37	0.3186268657831323
ATLAS	678	0.1460013909072304	678	0.15363705222239604
CMS	473	0.1448875538185166	473	0.15850753579010973
LHCb	116	0.2612928550454016	116	0.2555332315015752
