	Current Fit	Reference Fit
$\chi^2$	1.16707	1.16916
$<E_{\mathrm{trn}}>$	2.252±0.042	2.276±0.054
$<E_{\mathrm{val}}>$	2.39±0.11	2.370±0.096
$<TL>$	12500±1900	12500±2400
$<\chi^2>$	1.189±0.014	1.193±0.015
$\phi$	0.149±0.015	0.1551±0.0049
