	Current Fit	Current Fit	Reference Fit	Reference Fit
	ndata	$\phi$	ndata	$\phi$
group				
DIS NC	155.0	0.3067923194743746	2100	0.14446227669543257
DY NC	44.0	0.40239950664205815	736	0.17881564827286078
DIS CC	nan	nan	989	0.11942125253644727
DY CC	nan	nan	157	0.32936395561167037
TOP	nan	nan	64	0.1731715893099234
JETS	nan	nan	356	0.12923430290409574
DIJET	nan	nan	144	0.11284138049586108
PHOTON	nan	nan	53	0.05677953589512926
SINGLETOP	nan	nan	17	0.035738741517954926
