group	dataset	id	replica 79
DEUTERON	NMC_NC_NOTFIXED_EM-F2	45	0.9940312974719242
DEUTERON	NMC_NC_NOTFIXED_EM-F2	46	1.0002207284485705
DEUTERON	NMC_NC_NOTFIXED_EM-F2	58	0.9942901572138274
DEUTERON	NMC_NC_NOTFIXED_EM-F2	59	1.0213713124032506
DEUTERON	NMC_NC_NOTFIXED_EM-F2	60	1.023395209220169
DEUTERON	NMC_NC_NOTFIXED_EM-F2	72	0.9927868377162857
DEUTERON	NMC_NC_NOTFIXED_EM-F2	73	0.9798946573202375
DEUTERON	NMC_NC_NOTFIXED_EM-F2	74	1.0209169757858554
DEUTERON	NMC_NC_NOTFIXED_EM-F2	75	0.9983638229880961
DEUTERON	NMC_NC_NOTFIXED_EM-F2	86	0.9602550370341987
DEUTERON	NMC_NC_NOTFIXED_EM-F2	87	0.9489909893319222
DEUTERON	NMC_NC_NOTFIXED_EM-F2	88	0.9924782352771517
DEUTERON	NMC_NC_NOTFIXED_EM-F2	89	0.9883072308751948
DEUTERON	NMC_NC_NOTFIXED_EM-F2	90	0.9642724317555426
DEUTERON	NMC_NC_NOTFIXED_EM-F2	91	0.9640740856098613
DEUTERON	NMC_NC_NOTFIXED_EM-F2	101	0.9543347283120741
DEUTERON	NMC_NC_NOTFIXED_EM-F2	102	0.9858901140742222
DEUTERON	NMC_NC_NOTFIXED_EM-F2	103	0.9787120956678104
DEUTERON	NMC_NC_NOTFIXED_EM-F2	104	0.9652729827592769
DEUTERON	NMC_NC_NOTFIXED_EM-F2	105	0.9592257136951303
DEUTERON	NMC_NC_NOTFIXED_EM-F2	106	0.9765556578797244
DEUTERON	NMC_NC_NOTFIXED_EM-F2	107	0.9755317096675642
DEUTERON	NMC_NC_NOTFIXED_EM-F2	116	0.9339337396098913
DEUTERON	NMC_NC_NOTFIXED_EM-F2	117	0.9470331061594575
DEUTERON	NMC_NC_NOTFIXED_EM-F2	118	0.9422292919182328
DEUTERON	NMC_NC_NOTFIXED_EM-F2	119	0.9520010604413416
DEUTERON	NMC_NC_NOTFIXED_EM-F2	120	0.9229825378451791
DEUTERON	NMC_NC_NOTFIXED_EM-F2	121	0.9559201893705145
DEUTERON	NMC_NC_NOTFIXED_EM-F2	122	0.9446215640553643
DEUTERON	NMC_NC_NOTFIXED_EM-F2	123	0.959894788063897
DEUTERON	NMC_NC_NOTFIXED_EM-F2	131	0.9406865589375685
DEUTERON	NMC_NC_NOTFIXED_EM-F2	132	0.950247054256925
DEUTERON	NMC_NC_NOTFIXED_EM-F2	133	0.9441424620770434
DEUTERON	NMC_NC_NOTFIXED_EM-F2	134	0.9218953123571935
DEUTERON	NMC_NC_NOTFIXED_EM-F2	135	0.9117197840083953
DEUTERON	NMC_NC_NOTFIXED_EM-F2	136	0.940771843108487
DEUTERON	NMC_NC_NOTFIXED_EM-F2	137	0.916531142560031
DEUTERON	NMC_NC_NOTFIXED_EM-F2	138	0.9532449701545649
DEUTERON	NMC_NC_NOTFIXED_EM-F2	139	0.9479102357719108
DEUTERON	NMC_NC_NOTFIXED_EM-F2	146	0.9138769964148955
DEUTERON	NMC_NC_NOTFIXED_EM-F2	147	0.920715774859561
DEUTERON	NMC_NC_NOTFIXED_EM-F2	148	0.9467874280947405
DEUTERON	NMC_NC_NOTFIXED_EM-F2	149	0.9253015848769992
DEUTERON	NMC_NC_NOTFIXED_EM-F2	150	0.9173403404491279
DEUTERON	NMC_NC_NOTFIXED_EM-F2	151	0.94623509618213
DEUTERON	NMC_NC_NOTFIXED_EM-F2	152	0.8974410600248319
DEUTERON	NMC_NC_NOTFIXED_EM-F2	153	0.934859794891455
DEUTERON	NMC_NC_NOTFIXED_EM-F2	154	0.9284630330690254
DEUTERON	NMC_NC_NOTFIXED_EM-F2	155	0.9021884273390736
DEUTERON	NMC_NC_NOTFIXED_EM-F2	161	0.9162376406027133
DEUTERON	NMC_NC_NOTFIXED_EM-F2	162	0.9178991621485001
DEUTERON	NMC_NC_NOTFIXED_EM-F2	163	0.9189977263748037
DEUTERON	NMC_NC_NOTFIXED_EM-F2	164	0.9333314662311849
DEUTERON	NMC_NC_NOTFIXED_EM-F2	165	0.9161965738196735
DEUTERON	NMC_NC_NOTFIXED_EM-F2	166	0.9160623554505277
DEUTERON	NMC_NC_NOTFIXED_EM-F2	167	0.8990591005978699
DEUTERON	NMC_NC_NOTFIXED_EM-F2	168	0.9116574642235685
DEUTERON	NMC_NC_NOTFIXED_EM-F2	169	0.8919324735434296
DEUTERON	NMC_NC_NOTFIXED_EM-F2	170	0.8580119147755061
DEUTERON	NMC_NC_NOTFIXED_EM-F2	175	0.8923090583593956
DEUTERON	NMC_NC_NOTFIXED_EM-F2	176	0.9083934389973372
DEUTERON	NMC_NC_NOTFIXED_EM-F2	177	0.8683713598561756
DEUTERON	NMC_NC_NOTFIXED_EM-F2	178	0.861376193876121
DEUTERON	NMC_NC_NOTFIXED_EM-F2	179	0.8455870185070834
DEUTERON	NMC_NC_NOTFIXED_EM-F2	180	0.8605250029620211
DEUTERON	NMC_NC_NOTFIXED_EM-F2	181	0.8510413706191157
DEUTERON	NMC_NC_NOTFIXED_EM-F2	182	0.8604203624503284
DEUTERON	NMC_NC_NOTFIXED_EM-F2	183	0.8796740072796817
DEUTERON	NMC_NC_NOTFIXED_EM-F2	184	0.8583066635699311
DEUTERON	NMC_NC_NOTFIXED_EM-F2	185	0.8818385616487766
DEUTERON	NMC_NC_NOTFIXED_EM-F2	189	0.8652880957541109
DEUTERON	NMC_NC_NOTFIXED_EM-F2	190	0.8302106257184302
DEUTERON	NMC_NC_NOTFIXED_EM-F2	191	0.847622858262992
DEUTERON	NMC_NC_NOTFIXED_EM-F2	192	0.84048696688841
DEUTERON	NMC_NC_NOTFIXED_EM-F2	193	0.8708803627849601
DEUTERON	NMC_NC_NOTFIXED_EM-F2	194	0.8507068667013172
DEUTERON	NMC_NC_NOTFIXED_EM-F2	195	0.8564341097970848
DEUTERON	NMC_NC_NOTFIXED_EM-F2	196	0.8764930237880248
DEUTERON	NMC_NC_NOTFIXED_EM-F2	197	0.8446522629729803
DEUTERON	NMC_NC_NOTFIXED_EM-F2	198	0.8135481929676855
DEUTERON	NMC_NC_NOTFIXED_EM-F2	199	0.8463551885776815
DEUTERON	NMC_NC_NOTFIXED_EM-F2	203	0.863362950088489
DEUTERON	NMC_NC_NOTFIXED_EM-F2	204	0.839267431559754
DEUTERON	NMC_NC_NOTFIXED_EM-F2	205	0.8505743248089287
DEUTERON	NMC_NC_NOTFIXED_EM-F2	206	0.8111064210754363
DEUTERON	NMC_NC_NOTFIXED_EM-F2	207	0.8265314106535699
DEUTERON	NMC_NC_NOTFIXED_EM-F2	208	0.8167957778305707
DEUTERON	NMC_NC_NOTFIXED_EM-F2	209	0.8215285825660759
DEUTERON	NMC_NC_NOTFIXED_EM-F2	210	0.8086913572379351
DEUTERON	NMC_NC_NOTFIXED_EM-F2	211	0.8384659590799132
DEUTERON	NMC_NC_NOTFIXED_EM-F2	212	0.816458636261854
DEUTERON	NMC_NC_NOTFIXED_EM-F2	213	0.8254974148889656
